id,Name,priority
197166,pinboard,2
202638,Carbon Monoxide Sensors,2
197180,Lockers; Gun,2
196902,Lockers; Sloping top,2
196960,Lockers; Steel; Double Enamel Finish,2
196901,Lockers; Steel; Four Tier; Enamel Fnish,2
196959,Lockers; Steel; Single Enamel Finish,1
196903,Lockers; Two Tier; Sloping top,2
197182,Lockers; Weapons; Long arms; capacity 10,2
197181,Lockers; Weapons; SIde arms; capacity 30,2
196902,Lockers; Storage,2
203749,Bollards; Aluminium Cast; Removable,2
203816,Bollards; Brick,2
203751,Bollards; Galvanised; Fixed; 1.2m,2
203742,Bollards; Galvanised; Fixed; Bike Barrier,3
203746,Bollards; Galvanised; Lockable; 1.2m,3
203741,Bollards; Path Lighting; Commercial,3
203748,Bollards; Powder Coat; Security; 1m,3
203750,Bollards; Stainless Steel; Fixed; 1m,2
203747,Bollards; Steel; Painted,3
203752,Bollards; Timber; Painted; 1m,2
203744,Bollards; Timber; Painted; 2m,3
203747,Bollards; Metal - Painted,2
202863,VSD; Small,2
202863,Air Curtain; VSD,2
202863,VSD,2
202625,AC; FCU; 10000cfm,2
202626,AC; FCU; 18000cfm,2
202529,AC; FCU; 2000cfm,2
202410,AC; FCU; 30000cfm,2
202833,AC; FCU; 6000cfm,2
202294,FCU; 280L/s; 630 cfm,2
202295,FCU; 570L/s; 1200 cfm,2
202848,HWU; Electric; 4500kW,2
202568,HWU; Electric; Domestic; 50L,2
202566,HWU; Gas; Commercial; 315L,2
202918,HWU; Gas; Commercial; 340L Storage,2
202565,HWU; Gas; Domestic; 18L,2
202567,HWU; Gas; Domestic; 90L,2
202917,HWU; Instantaneous Gas; Commercial; 32L,2
202569,HWU; Solar; 300L,2
202822,HWU; Zip,2
202314,TMV,2
197090,CookTops Oven; Gas; Commercial; Stainless Steel,2
197079,CookTops; Electric; Domestic,2
197083,CookTops; Electric; Domestic Small,2
197058,CookTops; Gas; Commercial; 6 Burner,2
197080,CookTops; Gas; Domestic,2
197084,CookTops; Gas; Domestic,2
197080,Gas CookTops,2
197079,CookTops - Domestic; Electric,2
197058,CookTops - Commercial; 6 Burner Electric,2
197090,Cook Tops Oven; Gas; Commercial; Stainless Steel,2
197079,Cook Tops; Electric; Domestic,2
197083,Cook Tops; Electric; Domestic Small,2
197058,Cook Tops; Gas; Commercial; 6 Burner,2
197080,Cook Tops; Gas; Domestic,2
197084,Cook Tops; Gas; Domestic,2
197080,Gas Cook Tops,2
197079,Cook Tops - Domestic; Electric,2
197058,Cook Tops - Commercial; 6 Burner Electric,2
197090,Cooktop Oven; Gas; Commercial; Stainless Steel,2
197079,Cooktop; Electric; Domestic,2
197083,Cooktop; Electric; Domestic Small,2
197058,Cooktop; Gas; Commercial; 6 Burner,2
197080,Cooktop; Gas; Domestic,2
197084,Cooktop; Gas; Domestic,2
197080,Gas Cooktop,2
197079,Cooktop - Domestic; Electric,2
197058,Cooktop - Commercial; 6 Burner Electric,2
197414,Cupboards; UnderBenches; Stainless Steel,2
197422,Cupboards; UnderBenches; Timber Laminated,2
197417,Cupboards; UnderBenches;Timber Laminated,2
202396,Cupboards; Fume,2
197414,Cupboards; Underbench; Stainless Steel,2
197422,Cupboards; Underbench; Timber Laminated,2
197417,Cupboards; Underbench;Timber Laminated,2
197419,Cupboards; Wall Hung,2
197409,Cupboards; Wardrobe,2
197409,Cupboards - Wardrobe; Cloak,2
202396,Fume Cupboards; Chemical Lab,2
202396,FUME Cupboards; FUMECUP,2
197024,Barbecue; Commercial,2
203987,Barbecue; Electric,3
203986,Barbecue; Gas,2
203914,Barbecue; Gas Bottle,2
203989,Barbecue; Wood Fired,3
197166,Pinboardss,2
197228,Benches; Aluminium; Stadium,2
196765,Benches; Judge; 2.5m Modular,2
196766,Benches; Solicitor; 5m Modular,3
197229,Benches; Timber; Stadium,2
196899,Seat; Aluminium; Benches; HD Perofated,2
204026,Seat; Aluminium; Flat top Benches,2
196769,Seat; Court Benches,2
203939,Seat; Plastic; Fixed Benches,2
203945,Seat; Timber; Flat top Benches,2
197237,Benches; Aluminium,2
197235,Benches; Timber; Upholstered,2
196897,Table; Aluminium Benches; Combined Unit,2
202678,Benches Press; Gym,2
196831,Benches; Gym,2
202670,Benches Drill,2
202730,Benches Grinder,2
202797,Drill; Benches Mounted,2
202711,Table; Benches Saw,2
202783,WorkBenches; Router Table,2
203848,Park; Benches,2
203981,Park; Benches; Aluminium,2
197426,Benches; Laminate; Working Bench,2
196967,Benches; Shelves,2
197414,Cup Board; UnderBenches; Stainless Steel,2
197422,Cup Board; UnderBenches; Timber Laminated,2
197417,Cup Board; UnderBenches;Timber Laminated,2
197414,Cupboard; UnderBenches; Stainless Steel,2
197422,Cupboard; UnderBenches; Timber Laminated,2
197417,Cupboard; UnderBenches;Timber Laminated,2
197230,Seat; Aluminium; Fixed continuous Benches,2
197654,Wall - Carpet; Fabric (Benches Seating),2
202711,Benches Saw,2
202735,Benches Sander,2
197237,Benches seat,2
197237,Stainless steel Benches seat,2
202730,Workshop Benches Grinder,2
197076,UnderBenches fridge,2
202822,UnderBenches hot water unit,2
197480,Basins; Acrylic; Vanity,2
197463,Basins; Stainless Steel; Vanity,2
197460,Basins; Stainless Steel; Wall Mounted,3
197481,Basins; Vitreous China; Vanity,2
197494,Tap Set; Basins; Combination,2
197616,Floor; Steel Checkered Plate; Galvanised,2
202760,Air Curtain; Commercial,2
202435,Air Curtain; Industrial,2
202522,AC Supply; Louvre Diffuser; 630mm,2
202516,Air Diffuser; Linear; 3 Slot,2
202468,Duct; Sheet Metal; Rectangular; 0.5m girth,2
202475,Duct; Sheet Metal; Rectangular; 1.0m girth,2
202478,Duct; Sheet Metal; Spiral; 200mm,2
202479,Duct; Sheet Metal; Spiral; 400mm,2
202480,Duct; Sheet Metal; Spiral; 630mm,2
202378,Room AC; Vent; High Security,2
202315,Valve; Air Bleed Valve; 20m,2
202613,Filters; Air; HEPA; Dry Arrestance,2
202613,Filter; Air; HEPA; Dry Arrestance,2
202444,Filter; Air; HEPA; Dry Arrestance; Woven Media,2
202863,Variable Speed Drive; Small,2
202863,Air Curtain; Variable Speed Drive,2
196798,Amplifier; Home Theatre,2
196859,Audio Conference System,2
202673,Audiometer,2
196862,AV Controller,2
197147,Camera,2
196848,Cassette Deck,2
196839,CD Writer,2
196860,Dual Communication Port Card,2
196853,DVD VCR player,2
196877,Enclosure; Video Audio Switcher,3
196810,Foosball Table,3
196807,Guitar,3
196863,Headphone Distribution Amplifier,2
196866,Headphones,2
196864,Hearing Loop Amplifier,2
196865,Hearing Loop Cable,2
196867,Integrated Control System,2
196812,Karaoke Microphone,2
196881,Microphone Reciever; UHF,2
196868,Microphone; Gooseneck,2
196806,Piano,2
196872,PIP Processor,2
196870,Plasma Monitor,2
196858,Power Amplifier,2
196873,Power Supply,2
196855,Projection Screen,2
196856,Projection Screen; Pull Down,2
196857,Projector; Data; Ceiling Mounted,2
196882,Radio Microphone; UHF; Hand held,1
202942,Radio Monitor; Fixed,2
196852,Radio; CD player,2
197159,Radio; Desk,2
196818,Screen Printing Carousel,2
196880,Signal Processor,2
196871,Signal Processor; Output,2
196796,Stereo System,2
196851,Television - LCD - Widescreen 81cm,2
196854,Television - LCD 38cm,2
196850,Television - 68cm,3
196850,Television - LCD 68cm,2
196874,Touch Panel; Lectern,2
196879,Touch Panel; Wireless; Viewpoint,2
196797,Trolley; Television,2
196885,VGA Line Driver,3
196887,VGA Multitasker,2
196813,Video Camera,3
196847,Video Camera; HDD,3
196883,Video Cassette Recorder,2
202674,Video Conference System,2
196884,Video Conference System; Large,2
196814,Video Player,2
196886,Video Scaler,2
197467,Bath; Acrylic,2
197468,Spa; Acrylic; white,3
197433,Blind; Roller; Black Out,2
197433,Blind; Roller; Holland,2
197432,Blind; Venetian; Aluminium,2
197435,Blind; Vertical; HD Cotton,3
197429,Curtain Tracks,3
197429,Curtain Track,3
197434,Curtain; Drape,2
197434,Curtains; Drape,2
197434,Curtains; Drapes,2
197434,Curtain; Drapes,2
202437,Water Boiler; 5L,2
202524,Water Boiler; Gas; 5 Bar; 175kW,2
202551,Water Boiler; Gas; 5 Bar; 2500kW,2
202571,Water Boiler; Gas; 8 Bar; 2500kW,2
202326,Sensor; Carbon Dioxide,2
202326,Sensor; Gas,2
202326,Detector; Carbon Dioxide,2
202326,Detector; Gas,2
202464,Fire Suppression System; Carbon Dioxide; FM100/200,2
202327,Monitor; Gas,2
197628,Floor; Carpet Tiles; Commercial,2
197628,Floor; Carpet Tile; Commercial,2
197628,Floor; Carpet Tiles,2
197628,Floor; Carpet Tile,2
197623,Floor; Carpet Tiles; Domestic,2
197623,Floor; Carpet Tile; Domestic,2
197623,Floor; Carpet Tile,2
197623,Floor; Carpet Tiles,2
197603,Floor; Carpet; Commercial,2
197602,Floor; Carpet; Tufted Wool,2
197599,Ceiling; Cement Render,2
197600,Ceiling; Concrete,2
196776,Ceiling; Concrete; Heavy Duty,2
197593,Ceiling; Corrugated Metal,2
196784,Ceiling; Expanded Mesh; HD Steel,2
197594,Ceiling; Fibre Cement,2
197596,Ceiling; Fibre Cement; Heavy Duty,2
197587,Ceiling; Fibrous Plasterboard,2
197588,Ceiling; Pine Timber Strip,2
197583,Ceiling; Plaster,2
197579,Ceiling; Plasterboard; Fireproof,2
197598,Ceiling; Plasterboard; Heavy Duty; 13mm,2
197590,Ceiling; Plywood; Suspended,2
197591,Ceiling; Timber Laminate,2
197601,Ceiling; Vermiculite,3
197648,Paint; Ceiling,2
197648,Paint; Ceiling Lining,2
197647,Paint; Ceiling Lining; Acrylic,2
197653,Paint; Ceiling Lining; Acrylic; Heavy Duty,2
202310,Water Cooler; 15L,2
202304,Water Cooler; Floor Mount; Bubbler,2
202309,Water Cooler; Floor Mount; Twin Bubbler,2
202545,Water Reticulation System; AC Chilled; Condenser,2
202647,Evaporative Cooler; 12000m3/hr,2
202441,Evaporative Cooler; 21000m3/hr,2
202442,Evaporative Cooler; 51000m3/hr,3
202349,Air Chiller; Helical Rotary; 1000kW,2
202440,Air Chiller; Helical Rotary; 200kW,3
202439,Air Chiller; Helical Rotary; 300kW,2
202543,Air Chiller; Helical Rotary; 600kW,2
202352,Cooling Tower,3
202549,Cooling Tower; 1.2MW,3
197276,Shade Structure; Vertical Vergola; Automatic,2
197277,Shade Structure; Vertical Vergola; Manual,2
197202,Automatic Door; Correctional Services,2
197203,Automatic Gate,2
196894,Bed; High Security,2
197420,Counter; Reception; Prestige,2
197208,Detection; Mobile Phone,2
196787,Door Frame; Steel; Reinforced HD,2
196768,Door; Security; Prison,2
197247,Door; Security; Steel,2
197503,Door; Security; Steel,2
197512,Door; Security; Steel; Prison Glass,2
197505,Door; Security; Timber Solid; Glass view,2
203822,Fence: high security; razer full height; 6000mm hi,2
203921,Fence; Chainmesh; Barb Wire; 2.1m,2
203824,Fence; Chainmesh; Razor Wire; 3.6m,2
203861,Fence; Electrified,2
203823,Fence; Razor Wire; High Security; 6m,2
196781,Floor; Steel Mesh; Heavy Duty,2
203912,Gal welded mesh; tubular posts; roll top - m2,1
197204,Gate; Swing; Security,2
202347,Light; High Security; Secure,2
203877,Lighting; Security,2
197501,Lock; Door; Security,2
197197,Logic Controller; Programmable,2
196788,Mirror; Convex; High Security,2
197209,Number Plate Recognition System,2
196767,Prisoners Dock; Modular,2
197212,RFID Tagging System,2
197184,Riot Helmet,2
197179,Riot Shield,2
197205,Secure Entrance System,2
197196,Security Infrastructure; Network Switches,2
202359,Security Mantrap; Replacement Only,2
197213,Security System; Hard Drives,2
197218,Security; Lock; Electric,2
203817,Security; Steel Posts; 3.8m,2
203818,Security; Steel Posts; 6m,2
197194,Server; Digital Video Systems,2
202484,Switch; Isolation,2
196895,Table; Steel; High Security; Stools,2
